#a_0,e_0,emax,emin,tcol
0.492,0.330,1.65562,0.03772,-3.09266
1.353,0.280,0.28432,0.27062,100000.00000
1.096,0.000,0.01315,0.00000,100000.00000
0.550,0.070,0.11789,0.02003,100000.00000
0.905,0.430,0.97244,0.37677,-102.07510
0.888,0.500,0.95599,0.31853,-89.23278
0.971,0.200,0.20776,0.18371,100000.00000
0.844,0.160,0.17040,0.13907,100000.00000
0.497,0.080,0.15270,0.02295,100000.00000
0.632,0.090,0.11331,0.05308,100000.00000
1.493,0.390,0.39515,0.38094,100000.00000
0.519,0.060,1.20033,0.00056,-194.76766
1.042,0.090,0.09455,0.07602,100000.00000
1.180,0.210,0.21477,0.19858,100000.00000
0.966,0.160,0.16675,0.14371,100000.00000
1.254,0.120,0.12339,0.11015,100000.00000
1.244,0.200,0.20412,0.18969,100000.00000
1.296,0.350,0.35633,0.33910,100000.00000
1.316,0.090,0.09295,0.08100,100000.00000
0.290,0.350,0.93928,0.34160,0.05051
1.237,0.220,0.22440,0.20946,100000.00000
0.761,0.030,0.03862,0.00295,100000.00000
0.797,0.200,0.21646,0.17683,100000.00000
0.184,0.230,-1.00000,-1.00000,0.00000
1.307,0.430,0.43931,0.41741,100000.00000
1.104,0.250,0.25651,0.23677,100000.00000
0.637,0.400,1.08768,0.30749,-15.13958
0.392,0.360,1.44567,0.01754,-1.13203
1.469,0.280,0.28679,0.26929,100000.00000
0.600,0.420,1.39113,0.24820,-3.07095
0.392,0.450,0.62619,0.23767,0.07688
0.603,0.350,0.96079,0.09900,-38.55604
0.223,0.450,-1.00000,-1.00000,0.00000
0.408,0.250,1.56922,0.01078,-1.26607
0.422,0.400,1.31870,0.00399,0.09389
0.857,0.470,1.02925,0.42958,-15.98771
0.468,0.360,0.96339,0.00766,1.69576
0.504,0.100,0.97001,0.03014,-4151.24854
1.193,0.200,0.20450,0.18885,100000.00000
1.347,0.100,0.10289,0.09136,100000.00000
1.194,0.240,0.24510,0.22861,100000.00000
0.594,0.410,1.09749,0.11367,-10.94277
0.383,0.280,1.83619,0.08820,-1.22183
0.437,0.130,1.03173,0.00814,-15.33125
0.606,0.150,0.20835,0.11552,100000.00000
1.412,0.470,0.48020,0.45898,100000.00000
1.080,0.430,0.94121,0.40731,-10882.87341
0.921,0.490,0.96803,0.30319,-92.96687
1.398,0.420,0.42781,0.40957,100000.00000
0.898,0.420,0.98554,0.35887,-340.56664
0.412,0.470,0.87745,0.25190,0.07828
0.566,0.280,1.15833,0.06593,-12.22114
0.627,0.080,0.10292,0.04183,100000.00000
0.784,0.270,0.30518,0.24692,100000.00000
0.530,0.030,0.18921,0.00002,100000.00000
0.331,0.260,1.19309,0.16167,0.04243
1.213,0.440,0.45316,0.42533,100000.00000
1.233,0.310,0.31610,0.29863,100000.00000
0.552,0.130,0.20073,0.08623,100000.00000
0.297,0.280,1.05704,0.23812,0.04008
1.300,0.100,0.10307,0.09079,100000.00000
1.020,0.060,0.06446,0.04538,100000.00000
1.317,0.440,0.45152,0.42828,100000.00000
1.371,0.220,0.22354,0.21112,100000.00000
0.265,0.260,0.95353,0.24778,0.03890
0.958,0.360,0.38223,0.34228,100000.00000
1.088,0.200,0.20555,0.18677,100000.00000
0.193,0.090,0.89824,0.08964,0.03048
1.063,0.270,0.27798,0.25567,100000.00000
1.134,0.370,0.38310,0.35623,100000.00000
0.304,0.360,0.98253,0.34623,0.05135
0.865,0.280,0.29790,0.25854,100000.00000
1.432,0.500,0.51110,0.48787,100000.00000
1.462,0.160,0.16281,0.15244,100000.00000
0.880,0.020,0.02572,0.00008,100000.00000
0.960,0.260,0.27088,0.24302,100000.00000
0.751,0.490,1.00760,0.19314,-17.00869
1.440,0.280,0.28376,0.27158,100000.00000
0.642,0.370,1.00870,0.24450,-20.41917
1.265,0.320,0.32603,0.30902,100000.00000
0.775,0.060,0.06903,0.03445,100000.00000
1.000,0.220,0.22773,0.20429,100000.00000
0.894,0.270,0.28663,0.25093,100000.00000
0.428,0.240,1.26789,0.05783,-1.86607
1.088,0.300,0.30882,0.28598,100000.00000
1.335,0.480,0.49484,0.46790,100000.00000
0.921,0.360,0.38148,0.33590,100000.00000
0.348,0.010,1.54881,0.00909,-1.11761
0.902,0.130,0.13738,0.11148,100000.00000
0.279,0.100,0.82163,0.07131,0.03383
0.284,0.020,1.18863,0.01840,0.03516
0.704,0.330,1.04797,0.17570,-114.92927
0.827,0.330,1.00555,0.28784,-610.49623
1.103,0.500,0.95120,0.42510,-1096.50307
0.228,0.030,0.80176,0.03058,0.02784
1.397,0.000,0.03367,0.00001,100000.00000
0.224,0.260,0.88998,0.25668,0.04451
0.868,0.370,1.01877,0.33799,-298.26356
0.696,0.390,1.01409,0.30874,-19.24371
1.314,0.040,0.04274,0.03093,100000.00000
0.301,0.260,0.96886,0.20526,0.03947
1.374,0.380,0.38616,0.36981,100000.00000
1.243,0.050,0.05304,0.03997,100000.00000
0.804,0.100,0.10938,0.07668,100000.00000
0.896,0.020,0.02569,0.00081,100000.00000
1.160,0.070,0.07354,0.05861,100000.00000
1.015,0.360,0.37626,0.34283,100000.00000
1.496,0.410,0.41539,0.40063,100000.00000
1.162,0.090,0.09365,0.07861,100000.00000
1.281,0.040,0.04285,0.03050,100000.00000
0.417,0.010,1.12027,0.00571,-8.17525
0.951,0.410,0.99053,0.38115,-509.08793
0.194,0.010,0.79079,0.01057,0.02592
0.279,0.440,0.64102,0.27323,0.10227
0.818,0.370,0.94497,0.33095,-162.58732
0.509,0.370,1.30092,0.14976,-5.65357
0.216,0.140,0.86534,0.13625,0.03227
1.264,0.350,0.35644,0.33827,100000.00000
1.270,0.490,0.51701,0.46995,100000.00000
1.117,0.030,0.03352,0.01769,100000.00000
0.246,0.140,0.81289,0.12695,0.03189
0.247,0.490,0.49084,0.49084,-0.00454
1.295,0.090,0.09303,0.08073,100000.00000
1.475,0.480,0.48859,0.46912,100000.00000
1.056,0.030,0.03393,0.01628,100000.00000
1.300,0.350,0.35626,0.33917,100000.00000
1.127,0.400,0.41150,0.38296,100000.00000
0.732,0.420,0.99535,0.21095,-148.08383
0.858,0.200,0.21195,0.17971,100000.00000
1.324,0.160,0.16333,0.15098,100000.00000
0.862,0.400,0.97379,0.35095,-90.99847
0.492,0.050,0.13544,0.00171,100000.00000
0.546,0.070,0.12258,0.01979,100000.00000
0.792,0.260,0.28738,0.23675,100000.00000
1.121,0.090,0.09392,0.07787,100000.00000
0.659,0.220,0.96912,0.14112,-1078.36855
0.618,0.310,1.14123,0.25888,-16.53863
0.556,0.440,1.49503,0.01652,-5.18831
1.451,0.360,0.36488,0.35043,100000.00000
0.859,0.160,0.16973,0.13970,100000.00000
0.468,0.470,1.28523,0.09719,-1.07417
0.271,0.110,0.95679,0.08391,0.03281
0.556,0.020,0.04803,0.00001,100000.00000
1.214,0.110,0.11350,0.09948,100000.00000
1.247,0.490,0.51187,0.47643,100000.00000
0.825,0.130,0.13872,0.10697,100000.00000
0.719,0.020,0.03002,0.00000,100000.00000
0.362,0.300,1.64927,0.15944,-0.73318
1.500,0.500,0.51009,0.48945,100000.00000
0.314,0.480,0.64012,0.47639,0.10502
0.887,0.010,0.01596,0.00126,100000.00000
1.302,0.480,0.49375,0.46593,100000.00000
1.326,0.150,0.15325,0.14104,100000.00000
1.295,0.280,0.28478,0.26985,100000.00000
0.804,0.170,0.18309,0.14703,100000.00000
1.150,0.180,0.18462,0.16818,100000.00000
0.572,0.140,0.18189,0.08400,100000.00000
0.510,0.400,1.18393,0.03883,-2.43234
1.310,0.080,0.08292,0.07092,100000.00000
0.751,0.320,1.00310,0.26790,-262.28948
1.434,0.080,0.08256,0.07226,100000.00000
1.026,0.390,0.40632,0.36959,100000.00000
0.757,0.160,0.17551,0.13446,100000.00000
0.550,0.150,1.02982,0.10502,-42.83453
1.398,0.380,0.38590,0.37012,100000.00000
1.160,0.220,0.22519,0.20726,100000.00000
1.123,0.360,0.37025,0.34539,100000.00000
1.197,0.030,0.03314,0.01920,100000.00000
1.246,0.050,0.05299,0.03999,100000.00000
1.459,0.260,0.26888,0.24907,100000.00000
0.257,0.070,0.84173,0.05939,0.03088
1.353,0.490,0.50154,0.47529,100000.00000
0.196,0.370,-1.00000,-1.00000,0.00000
1.124,0.250,0.25617,0.23718,100000.00000
1.228,0.280,0.28547,0.26885,100000.00000
0.621,0.080,0.10427,0.04131,100000.00000
0.386,0.370,1.40471,0.22114,0.88590
1.360,0.250,0.25391,0.24095,100000.00000
0.500,0.430,1.29435,0.00871,-14.09324
0.773,0.050,0.05880,0.02418,100000.00000
0.938,0.380,0.94752,0.34251,-11553.59383
0.247,0.020,0.81933,0.02057,0.02936
0.263,0.460,-1.00000,-1.00000,0.00000
0.839,0.070,0.07738,0.04841,100000.00000
0.807,0.410,1.05626,0.31105,-68.31484
0.535,0.040,0.08756,0.00001,100000.00000
1.208,0.260,0.26531,0.24870,100000.00000
0.460,0.360,1.17703,0.03424,1.06234
0.913,0.330,0.35059,0.30936,100000.00000
0.257,0.180,0.79203,0.16149,0.03395
0.718,0.480,1.17583,0.36127,-12.22178
1.017,0.190,0.19651,0.17507,100000.00000
1.360,0.100,0.10284,0.09151,100000.00000
0.699,0.300,0.96751,0.22272,-296.64277
0.376,0.490,2.01245,0.42681,0.08199
0.393,0.420,0.83797,0.08797,0.09141
1.327,0.060,0.06278,0.05111,100000.00000
0.298,0.270,0.99706,0.22293,0.03984
1.454,0.480,0.48983,0.46931,100000.00000
0.851,0.390,0.95780,0.31596,-108.79764
0.572,0.500,1.44694,0.14029,-3.07976
0.924,0.130,0.13688,0.11232,100000.00000
1.408,0.390,0.39606,0.38011,100000.00000
0.210,0.380,-1.00000,-1.00000,0.00000
0.843,0.050,0.05685,0.02846,100000.00000
0.562,0.320,1.16175,0.23227,-11.13747
1.137,0.340,0.34956,0.32660,100000.00000
1.330,0.220,0.22376,0.21073,100000.00000
0.456,0.360,1.25084,0.02365,-2.47460
0.294,0.020,1.20373,0.01759,0.03704
0.231,0.390,-1.00000,-1.00000,0.00000
0.862,0.050,0.05646,0.02941,100000.00000
1.148,0.200,0.20492,0.18802,100000.00000
