#a_0,e_0,emax,emin,tcol
0.266,0.340,0.81229,0.33468,0.05324
0.404,0.370,1.21593,0.08423,0.14903
0.254,0.100,0.82916,0.08523,0.03110
0.377,0.490,2.41876,0.42440,0.08232
0.401,0.240,1.10809,0.01663,0.78726
0.210,0.060,0.85798,0.05877,0.02804
0.554,0.360,1.06053,0.05890,-76.47343
0.386,0.350,1.59966,0.18653,-15.37794
0.451,0.250,1.54398,0.07231,-56.76128
0.577,0.060,0.08738,0.01584,2.20600
0.513,0.370,1.32760,0.15736,-21.91669
0.253,0.420,-1.00000,-1.00000,0.00000
0.324,0.310,0.94529,0.23941,0.04439
0.373,0.370,1.24153,0.24738,-22.43365
0.541,0.190,1.10663,0.15063,-84.68739
0.370,0.090,1.15584,0.00757,-60.59710
0.248,0.150,0.92110,0.13544,0.03224
0.185,0.040,0.88382,0.04007,0.02777
0.309,0.250,1.00982,0.18094,0.03905
0.269,0.430,0.65082,0.40893,0.10168
0.509,0.300,1.32122,0.04493,-30.32585
0.223,0.040,0.86065,0.03961,0.02773
0.346,0.370,1.90661,0.29711,-11.38239
0.473,0.420,0.74347,0.01161,0.37832
0.379,0.260,0.92113,0.07303,0.74752
0.287,0.450,0.63771,0.39863,0.10267
0.407,0.390,1.66424,0.15213,0.10483
0.527,0.380,1.13788,0.17767,-38.20252
0.579,0.420,1.28698,0.01439,-31.39880
0.602,0.100,0.22102,0.00020,-273.59286
0.487,0.400,1.44584,0.03877,-18.81791
0.267,0.190,0.82950,0.16253,0.03461
0.524,0.000,0.26899,0.00007,-201.51637
0.388,0.220,1.33851,0.01599,0.94036
0.402,0.130,1.06244,0.02664,-67.11190
0.223,0.160,0.93015,0.15516,0.03316
0.282,0.380,0.56382,0.20368,0.06606
0.372,0.490,2.52123,0.43988,0.08373
0.261,0.190,0.92434,0.16833,0.03432
0.384,0.490,1.46522,0.40265,0.07983
0.318,0.270,1.19286,0.19360,0.04121
0.567,0.290,1.10577,0.03139,-39.65837
0.380,0.130,1.75421,0.00228,-16.82308
0.449,0.270,1.15916,0.08831,-38.73247
0.480,0.360,1.28226,0.02806,-26.48986
0.536,0.200,1.21602,0.15459,-48.76452
0.444,0.420,1.51851,0.04834,-17.12208
0.345,0.260,1.18041,0.13824,0.04515
0.588,0.230,1.07085,0.19400,-66.20974
0.194,0.160,0.95997,0.15795,0.03655
0.274,0.400,1.07803,0.39561,0.07245
0.590,0.130,1.24051,0.05971,-221.76396
0.219,0.400,0.40010,0.40010,-0.00453
0.591,0.240,0.50100,0.15397,-48.46869
0.314,0.010,1.43897,0.01007,-48.20434
0.291,0.020,1.20684,0.01758,0.03647
0.361,0.400,0.88484,0.32376,1.03118
0.377,0.350,1.22684,0.20573,-23.74876
0.189,0.460,0.46010,0.46010,-0.00649
0.221,0.060,0.87288,0.05745,0.02823
0.588,0.300,1.15485,0.23999,-48.89082
0.213,0.420,-1.00000,-1.00000,0.00000
0.188,0.050,0.88005,0.05008,0.02819
0.566,0.370,1.71210,0.08494,-64.79495
0.183,0.330,-1.00000,-1.00000,0.00000
0.320,0.310,0.85173,0.24612,0.04416
0.569,0.220,1.17721,0.09036,-59.45961
0.297,0.400,0.54637,0.39435,0.06803
0.293,0.400,0.55666,0.39455,0.06832
0.534,0.340,1.27587,0.09259,-37.05784
0.250,0.440,0.44010,0.44010,-0.00302
0.551,0.020,0.12040,0.00218,5.59400
0.291,0.260,1.03322,0.21935,0.03866
0.466,0.400,0.77133,0.00641,0.50732
0.508,0.500,1.42199,0.03998,-18.47727
0.250,0.110,0.91410,0.09604,0.03101
0.467,0.150,1.25769,0.08794,-58.66549
0.358,0.120,1.07861,0.02351,-47.15691
0.589,0.150,0.99298,0.09074,-129.92689
0.288,0.280,1.05761,0.25000,0.04001
0.426,0.010,1.76730,0.00362,-26.88312
0.449,0.050,1.07347,0.01553,-127.13987
0.569,0.300,1.00413,0.08918,-85.65742
0.595,0.140,0.22326,0.08344,4.36500
0.383,0.050,1.35416,0.00732,-25.01161
0.523,0.280,1.14737,0.17933,-41.07115
0.264,0.390,1.09411,0.38598,0.07262
0.407,0.360,1.02471,0.04248,-73.85072
0.204,0.250,0.86827,0.24778,0.04981
0.276,0.200,0.85755,0.16518,0.03540
0.472,0.460,1.55612,0.05992,-21.24975
0.418,0.080,1.24608,0.02311,-37.63332
0.454,0.210,1.12449,0.10120,-147.84369
0.580,0.490,1.08931,0.04464,-41.55808
0.531,0.050,1.05408,0.00228,-143.26339
0.413,0.270,0.97193,0.01615,1.33897
0.312,0.410,0.52145,0.35166,0.06913
0.200,0.230,0.93025,0.22788,0.04610
0.393,0.290,0.57936,0.07528,0.27982
0.187,0.100,0.94338,0.09968,0.03196
0.385,0.330,0.87616,0.15564,1.00430
0.199,0.450,0.45010,0.45010,-0.00613
0.527,0.140,1.01220,0.10057,-145.85874
0.516,0.390,1.44877,0.10061,-25.00774
0.329,0.090,1.41575,0.03655,-67.30510
0.550,0.220,1.12159,0.17360,-65.12007
0.431,0.220,1.17262,0.07138,-33.74031
0.388,0.330,1.44937,0.14865,-17.71518
0.349,0.340,1.16795,0.24245,0.04888
0.184,0.440,0.44010,0.44010,-0.00663
0.293,0.250,0.97563,0.20391,0.03848
0.274,0.390,0.79256,0.38535,0.06949
0.491,0.480,1.14703,0.04879,-33.70882
0.404,0.290,1.06546,0.02917,-52.91229
0.270,0.050,0.81094,0.04076,0.03252
0.307,0.390,1.23734,0.38138,0.40609
0.343,0.490,1.03662,0.44492,-30.77164
0.217,0.390,-1.00000,-1.00000,0.00000
0.558,0.030,1.26037,0.00020,-128.24731
0.401,0.460,0.77472,0.25410,0.07686
0.544,0.420,1.17670,0.17903,-35.00450
0.462,0.160,1.04595,0.09159,-99.74717
0.371,0.010,1.29158,0.00773,-297.01228
0.283,0.130,0.90857,0.09009,0.03444
0.483,0.300,1.18801,0.13798,-60.50099
