#mu,eb,a_crit
0.150,0.39,3.50
0.180,0.04,2.26
0.120,0.77,4.19
0.140,0.17,2.72
0.200,0.49,3.83
0.190,0.27,3.18
0.160,0.63,4.17
0.230,0.14,2.68
0.240,0.35,3.46
0.210,0.73,4.23
0.150,0.40,3.51
0.200,0.50,3.83
0.180,0.05,2.25
0.160,0.64,4.17
0.140,0.18,2.76
0.120,0.78,4.20
0.230,0.15,2.69
0.240,0.36,3.47
0.190,0.28,3.19
0.200,0.51,3.83
0.210,0.74,4.26
0.150,0.41,3.55
0.140,0.19,2.78
0.160,0.65,4.19
0.180,0.06,2.31
0.120,0.79,4.20
0.190,0.29,3.21
0.230,0.16,2.70
0.240,0.37,3.49
0.210,0.75,4.26
0.200,0.52,3.84
0.150,0.42,3.55
0.160,0.66,4.19
0.230,0.17,2.71
0.140,0.20,2.79
0.180,0.07,2.33
0.240,0.38,3.51
0.190,0.30,3.24
0.210,0.76,4.26
0.120,0.80,4.21
0.200,0.53,3.84
0.150,0.43,3.56
0.230,0.18,2.81
0.160,0.67,4.19
0.210,0.77,4.26
0.190,0.31,3.42
0.180,0.08,2.32
0.140,0.21,2.82
0.240,0.39,3.53
0.130,0.00,2.16
0.230,0.19,2.85
0.210,0.78,4.26
0.150,0.44,3.58
0.200,0.54,3.84
0.140,0.22,2.83
0.180,0.09,2.61
0.190,0.32,3.43
0.160,0.68,4.19
0.240,0.40,3.54
0.130,0.01,2.18
0.210,0.79,4.28
0.230,0.20,2.87
